audio_filepath,start,end,text,pronunciation
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,935.04,939.12,λαμβάνει χώρα το διαζύγιο όταν,lamvˈani xˈora to ðˌiazˈijo ˈotan
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,937.279,941.44,λαμβάνει χώρα ο χωρισμός υπάρχει,lamvˈani xˈora o xˌorismˈos ipˈarçi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,939.12,944.48,ένας χωρισμός που λαμβάνει χώρα εσωτερικά,ˌenas xˌorismˈos pu lamvˈani xˈora ˌesotˌerikˈa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,941.44,948.72,μέσα σε ένα άτομο σχεδόν αναγκάζοντας κάποιον,mˌesa se ˌen ˈatomˌo sçeðˈon ˌanaŋɡˈazodˌas kˈapiˌon
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,944.48,951.44,να επιλέξει ποιον έννα διαλέξω μαμά όξα μπαμπά Ποιον ποιον,na ˌepilˈeksi pˈion ˈena ðˌialˈekso mamˈa ˈoksa babˈa pˈiom bˈion
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,948.72,954.48,αγαπώ περισσότερο Μαμά όξα μπαμπάς Σε ποιον είμαι,ˌaɣapˈo pˌerissˈoterˌo mamˈa ˈoksa babˈas se pˈion ˌime
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,951.44,956.32,πιο πιστός Μαμά όξα μπαμπάς Έτσι αυτό,pçˈo pistˈoz mamˈa ˈoksa babˈas ˈetsi aftˈo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,954.48,958.92,δημιουργεί θραύσματα θραύσματα του,ðˌimiurjˈi θrˈafsmatˌa θrˈafsmatˌa tu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,956.32,962.8,εαυτού μας Τζαί αυτά είναι κομμάτια του,ˌeaftˈu mas dzˈe aftˈa ˌine komˈatiˌa tu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,958.92,965.12,εαυτού μας που χρειάζονται επανένταξη τζαί η,ˌeaftˈu mas pu xrçˈazodˌe ˌepanˈedaksˌi dzˈe ˈita
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,962.8,967.04,επανένταξη συμβαίνει μέσω της θεραπείας,ˌepanˈedaksˌi simvˈeni mˈeso tis θˌerapˈias
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,965.12,968.399,Μμμ Δεκάρα Επειδή έχω χωρισμένους,mˌimˌimˈi ðekˈara ˌepiðˈi ˌexo xˌorismˈenus
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,967.04,971.36,γονείς όπως τους είπα τζαί πριν τζαί,ɣonˈis ˈopos tus ˈipa dzˈe prˈin dzˈe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,968.399,973.6,εγώ θαρκούμαι ότι έχω ένα,eɣˈo θarkˈume ˈoti ˌexo ˌena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,971.36,975.6,τραύμα εξαιτίας του μπαμπά μου επειδή εν του,trˈavma ˌeksetˈias tu babˈa mu ˌepiðˈi ˈen du
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,973.6,977.36,έδινε ποτέ δεκάρα για μένα Σαν να,ˈeðinˌe potˈe ðekˈara jˈa mˈena sˈan na
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,975.6,979.6,μην σε νοιάζει καθόλου για μένα,mˈin se ɲˈazi kaθˈolu jˈa mˈena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,977.36,982.6,Τζαί τώρα βρίσκομαι σε ένα στάδιο όπου είμαι σαν να,dzˈe tˈora vrˈiskomˌe se ˌena stˈaðiˌo ˈopu ˌime sˈan na
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,982.6,987.92,τον είχα εδώ για περίπου έξι μήνες από τότε που ξεκίνησε ο πόλεμος στην Ουκρανία το,ton ˌixa eðˈo jˈa perˈipu ˈeksi mˈines apˌo tˈote pu ksecˈinisˌe o pˈolemˌos stin ˌukranˈia to
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,985.68,989.92,Τον φρόντισα Έφυγε τζαί,ton frˈodisˌa ˈefijˌe dzˈe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,987.92,991.279,με ξέχασε εντελώς Τζαί μετά,me ksˈexasˌe ˌedelˈos dzˈe metˈa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,989.92,994.16,επέστρεψε με την οικογένειά του εδώ για ένα,epˈestrepsˌe me tin ˌikojˈeɲˈa tu eðˈo jˈa ˌena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,991.279,996.079,μήνα για διακοπές τζαί εν με είδε,mˈina jˈa ðˌiakopˈes dzˈe ˈen me ˈiðe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,994.16,997.92,Ούτε καν μια μέρα εν έννα ερχόταν καν,ˈute kˈan mɲa mˈera ˈen ˈena erxˈotaŋ ɡˈan
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,996.079,1000.079,μια μέρα να δει Πρέπει να είναι πολύ επώδυνο,mɲa mˈera na ðˈi prˈepi na ˌine polˈi epˈoðinˌo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,997.92,1002.399,Ήταν πραγματικά αηδιαστικό Ένιωσα αηδιασμένος,ˌitam brˌaɣmatikˈa ˌaɪðiˌastikˈo ˈeɲosˌa ˌaɪðiasmˈenos
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1000.079,1005.519,Τζαί την τελευταία μέρα πριν φύγει,dzˈe tin dˌeleftˈea mˈera prˈin fˈiji
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1002.399,1007.68,μου έφερε περίπου σε μετρητά τζαί έναν,mu ˈeferˌe perˈipu se mˌetritˈa dzˈe ˌenan
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1005.519,1009.519,φάκελο τζαί μου τα έδωσε λέγοντας όπως,fˈacelˌo dzˈe mu ta ˈeðosˌe lˈeɣodˌas ˈopos
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1007.68,1010.88,είπε,ˈipe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1009.519,1014.72,Πιστεύω ότι αυτό είναι πιο σημαντικό για εσένα,pistˈevo ˈoti aftˈo ˌine pçˈo sˌimadikˈo jˈa esˈena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1010.88,1017.12,παρά για μένα Ο Μ τζαί είναι όμορφος ήταν,parˌa jˈa mˈena o mˈi dzˈe ˌine ˈomorfˌos ˌitan
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1014.72,1018.72,αρκετά πλούσιος τότε όι τώρα,ˌarcetˈa plˈusjos tˈote ˈoɪ tˈora
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1017.12,1020.32,με τον πόλεμο αλλά ήταν αρκετά πλούσιος,me tom bˈolemˌo alˌa ˌitan ˌarcetˈa plˈusjos
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1018.72,1022.32,τότε Τζαί από τότε το,tˈote dzˈe apˌo tˈote to
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1020.32,1024.16,αποφάσισα αυτό τζαί εν το ανεβάζω Οπότε όι,ˌapofˈasis aftˈo dzˈe ˈen do ˌanevˈazo opˈote ˈoɪ
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1022.32,1026.959,εν θέλω καμία σχέση Τζαί τώρα,ˈen θˈelo kamˈia sçˈesi dzˈe tˈora
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1024.16,1029.72,που γίνομαι,pu jˈinomˌe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1026.959,1032.24,αλλάζω το επώνυμό μου στο επώνυμο του μπαμπά μου,alˈazo to epˈonimˈo mu sto epˈonimˌo tu babˈa mu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1029.72,1034.4,με την ελπίδα ότι έννα βρω,me tin elpˈiða ˈoti ˈena vrˈo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1032.24,1037.28,τα χαρτιά τζαί τα έγγραφα για να ζητήσω από τον,ta xˌartiˈa dzˈe ta ˈeŋɡrafˌa janˌa zitˈiso apˌo ton
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1034.4,1040.0,πατριό μου να με υιοθετήσει ξέρεις Καλά,pˌatriˈo mu na me ˌioθetˈisi ksˈeris kalˈa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1040.0,1044.0,Είναι λοιπόν κάτι πολύ βαθιά ριζωμένο Τζαί εξαιτίας αυτής της διαδικασίας τζαί,ˌine lipˈoŋ ɡˈati polˈi vˌaθiˈa rˌizomˈeno dzˈe ˌeksetˈias aftˈis tiz ðˌiaðˌikasˈias dzˈe
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1041.919,1045.52,εξαιτίας αυτού νιώθω ότι επιστρέφοντας στην,ˌeksetˈias aftˈu ɲˈoθo ˈoti ˌepistrˈefodˌas stin
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1044.0,1049.12,προηγούμενη συζήτηση η,proɪɣˈumenˌi sizˈitisˌi ˈita
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1045.52,1051.039,επιλογή μου για τους άντρες είναι εντελώς άθλια Εξαιτίας,ˌepilojˈi mu jˈa tus ˈadres ˌine ˌedelˈos ˈaθʎa ˌeksetˈias
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1049.12,1052.64,αυτού επειδή τρέχω,aftˈu ˌepiðˈi trˈexo
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1051.039,1055.039,παρόλο που έχω έναν θετό μπαμπά που,parˈolo pu ˌexo ˌenan θetˈo babˈa pu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1052.64,1057.28,με αγαπάει απόλυτα τζαί νοιάζεται απόλυτα για μένα,me ˌaɣapˈai apˈolitˌa dzˈe ɲˈazetˌe apˈolitˌa jˈa mˈena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1055.039,1059.76,εξακολουθώ να νιώθω ότι τρέχω κυνηγώντας περισσότερη,ˌeksakˌoluθˈo na ɲˈoθo ˈoti trˈexo cˌiniɣˈodas pˌerissˈoterˌi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1057.28,1060.96,αγάπη τζαί περισσότερους ανθρώπους που,aɣˈapi dzˈe pˌerissˈoterˌus anθrˈopus pu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1059.76,1062.4,έννα με αντιμετωπίσουν τζαί έννα,ˈena me ˌadimˌetopˈisun dzˈe ˈena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1060.96,1064.799,πουν Ναι σαν να σ αγαπώ Όπως,pˈun nˈe sˈan na sˈiɣm ˌaɣapˈo ˈopos
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1062.4,1066.72,ξέρεις όπως μου αρέσει που εκτιμώ Ναι έννα,ksˈeris ˈopoz mu arˈesi pu ˌektimˈo nˈe ˈena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1064.799,1069.039,ψάχνεις πάντα για μια πατρική,psˈaxnis pˈada jˈa mɲa pˌatricˈi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1066.72,1072.799,φιγούρα Αυτό είναι τρελό όμως επειδή,fiɣˈur aftˈo ˌine trelˈo ˈomos ˌepiðˈi
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1069.039,1074.08,νιώθω ενοχές καρτζί στον πατριό μου,ɲˈoθo ˌenoçˈes kardzˈi stom bˌatriˈo mu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1072.799,1075.679,ξέρεις επειδή εν θέλω να,ksˈeris ˌepiðˈi ˈen θˈelo na
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1074.08,1077.12,νιώθει ότι εν μου δίνει την ίδια,ɲˈoθi ˈoti ˈen mu ðˈini tin ˈiðja
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1075.679,1079.2,αγάπη που έννα,aɣˈapi pu ˈena
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1077.12,1081.6,μου έδινε ο πατέρας μου παρόλο που μου δίνει αλλά,mu ˈeðinˌe o patˈeraz mu parˈolo pu mu ðˈini alˌa
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1079.2,1084.32,εξακολουθώ να έχω αυτό το κενό στο μυαλό μου,ˌeksakˌoluθˈo na ˌexo aftˈo to cenˈo sto mˌialˈo mu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1081.6,1087.44,που είναι σαν να τρέχω πίσω από την επιβεβαίωση των,pu ˌine sˈan na trˈexo pˈiso apˌo tin ˌepivevˈeosˌi ton
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1084.32,1089.84,ανδρών Ναί Να με επικυρώνουν σαν να,anðrˈon nˈe na me ˌepicirˈonun sˈan na
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1087.44,1092.12,είμαι σημαντικόςή για αυτούς εσύ Οπότε υποθέτω ότι,ˌime sˌimadikˈosˈi jˈa aftˈus esˈi opˈote ˌipoθˈeto ˈoti
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1089.84,1094.4,αυτό που έννα ήταν καλό για εσένα είναι να,aftˈo pu ˈena ˌitaŋ ɡalˈo jˈa esˈena ˌine na
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1092.12,1095.84,καταλάβεις ότι η αγάπη που,kˌatalˈavis ˈoti i aɣˈapi pu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1094.4,1097.2,ψάχνεις τζαί η σημασία που,psˈaxnis dzˈe i sˌimasˈia pu
/kaggle/input/audio-files/Audio_Files/7M4DQHf1J2A.wav,1095.84,1098.96,ψάχνεις να,psˈaxniz na
